species_key,common_name,scientific_name,entry_type,final_status,asset_status,local_file_path,storage_path,public_url,image_license,image_source_url,credit,notes
betta_species,Betta,Betta splendens,species,licensed_photo,ready_real_image,database/seed/species_images/generated/real/betta_species.jpg,real/betta_species.jpg,,CC BY-SA 1.0,https://commons.wikimedia.org/wiki/File:Betta_splendens.jpg,User:Mendel,Verified CC BY-SA 1.0 on Wikimedia Commons file page. Species-level photo of Betta splendens. Download status: downloaded locally.
halfmoon-betta_strain,Halfmoon Betta,Betta splendens,strain,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/halfmoon-betta_strain.png,ai/halfmoon-betta_strain.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
plakat-betta_strain,Plakat Betta,Betta splendens,strain,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/plakat-betta_strain.png,ai/plakat-betta_strain.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
crowntail-betta_strain,Crowntail Betta,Betta splendens,strain,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/crowntail-betta_strain.png,ai/crowntail-betta_strain.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
veiltail-betta_strain,Veiltail Betta,Betta splendens,strain,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/veiltail-betta_strain.png,ai/veiltail-betta_strain.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
dumbo-betta_strain,Dumbo Betta,Betta splendens,strain,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/dumbo-betta_strain.png,ai/dumbo-betta_strain.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
koi-betta_morph,Koi Betta,Betta splendens,morph,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/koi-betta_morph.png,ai/koi-betta_morph.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
galaxy-betta_morph,Galaxy Betta,Betta splendens,morph,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/galaxy-betta_morph.png,ai/galaxy-betta_morph.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
dragon-scale-betta_morph,Dragon Scale Betta,Betta splendens,morph,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/dragon-scale-betta_morph.png,ai/dragon-scale-betta_morph.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
copper-betta_morph,Copper Betta,Betta splendens,morph,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/copper-betta_morph.png,ai/copper-betta_morph.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
samurai-betta_morph,Samurai Betta,Betta splendens,morph,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/samurai-betta_morph.png,ai/samurai-betta_morph.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
peaceful-betta_species,Peaceful Betta,Betta imbellis,species,licensed_photo,ready_real_image,database/seed/species_images/generated/real/peaceful-betta_species.jpg,real/peaceful-betta_species.jpg,,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Betta_imbellis.jpg,A.H Idham,Verified CC BY-SA 4.0 via Wikimedia Commons API/file metadata. Species-level image for Betta imbellis. Download status: downloaded locally.
